Lever position ;Ship speed (v) ;Gas Turbine (GT);GT rate of revolutions (GTn) ;Starboard Propeller Torque ;Port Propeller Torque (Tp);Hight Pressure (HP);HP Turbine exit pressure;GT Compressor outlet air pressure (P2) [bar]  ;GT exhaust gas pressure (Pexh) ;Turbine Injecton Control (TIC) [%]  ;GT Compressor decay state coefficient  ;FuelFlow
1.138;3;289.964;1.349.489;7.584;7.584;464.006;1.096;5.947;1.019;7.137;0.95;0.082
2.088;6;6960.18;1.376.166;28.204;28.204;635.401;1.331;7.282;1.019;10.655;0.95;0.287
3.144;9;8.379.229;1.386.757;60.358;60.358;606.002;1.389;7.574;1.02;13.086;0.95;0.259
4.161;12;14.724.395;1.547.465;113.774;113.774;661.471;1.658;9.007;1.022;18.109;0.95;0.358
5.14;15;21.636.432;1.924.313;175.306;175.306;731.494;2.078;11.197;1.026;26.373;0.95;0.522
6.175;18;29.792.731;2.307.404;246.278;246.278;800.434;2.501;13.356;1.03;35.76;0.95;0.708
7.148;21;38982.18;2.678.086;332.077;332.077;854.747;2.963;15.679;1.035;45.881;0.95;0.908
8.206;24;50.996.808;3.087.561;437.989;437.989;952.122;3.576;18.632;1.04;62.44;0.95;1.236
9.3;27;72.763.329;3.560.395;644.905;644.905;1.115.797;4.498;22.811;1.049;92.556;0.95;1.832
1.138;3;379.88;1.355.375;7.915;7.915;464.017;1.1;5.963;1.019;3.879;0.95;0.079
2.088;6;6.969.176;1371.94;27.424;27.424;635.96;1.33;7.272;1.019;12.785;0.95;0.289
3.144;9;8.379.307;1.386.758;60.353;60.353;605.169;1.389;7.567;1.02;13.052;0.95;0.258
4.161;12;14.724.544;1.547.466;113.795;113.795;660.568;1.657;8.998;1.022;18.066;0.95;0.358
5.14;15;21.636.777;1.924.313;175.314;175.314;730.495;2.078;11.185;1.026;26.316;0.95;0.521
6.175;18;29.792.983;2.307.388;246.295;246.295;799.298;2.501;13.342;1.03;35.687;0.95;0.707
7.148;21;38.981.896;2.678.086;332.208;332.208;853.701;2.963;15.661;1.035;45.799;0.95;0.907
8.206;24;50.997.234;3.087.583;438.098;438.098;951.073;3.575;18.611;1.04;62.342;0.95;1.234
9.3;27;72.763.515;3.560.401;644.963;644.963;1.114.887;4.496;22.784;1.049;92.448;0.95;1.83
1.138;3;753.021;1.371.886;8.858;8.858;473.665;1.117;6.047;1.019;0.0;0.95;0.088
2.088;6;6.961.726;1.371.057;27.259;27.259;635.133;1.33;7.262;1.019;13.192;0.95;0.289
3.144;9;8.379.456;1.386.759;60.356;60.356;604.338;1.389;7.559;1.02;13.018;0.95;0.258
4.161;12;14.724.616;1.547.466;113.801;113.801;659.666;1.657;8.989;1.022;18.023;0.95;0.357
5.14;15;21.636.925;1.924.315;175.282;175.282;729.497;2.078;11.174;1.026;26.26;0.95;0.52
6.175;18;29.793.328;2.307.377;246.22;246.22;798.166;2.501;13.328;1.03;35.613;0.95;0.705
7.148;21;38.981.432;2.678.086;332.108;332.108;852.658;2.962;15.644;1.035;45.717;0.95;0.905
8.206;24;50.997.566;3.087.601;438.134;438.134;950.027;3.574;18.589;1.041;62.245;0.95;1.232
9.3;27;72.764.565;3.560.403;645.076;645.076;1.113.985;4.495;22.756;1.049;92.342;0.95;1.828
1.138;3;1.341.723;1.391.603;10.018;10.018;490.661;1.142;6.185;1.019;0.0;0.95;0.107
2.088;6;6.895.321;1.366.843;26.481;26.481;633.651;1.326;7.239;1.019;15.319;0.95;0.289
3.144;9;8.379.548;1.386.759;60.351;60.351;603.509;1.389;7.552;1.02;12.983;0.95;0.257
4.161;12;14.724.731;1.547.467;113.797;113.797;658.766;1.657;8.98;1.022;17.98;0.95;0.356
5.14;15;21.636.973;1.924.318;175.3;175.3;728.501;2.078;11.162;1.026;26.203;0.95;0.519
6.175;18;29.793.658;2.307.365;246.288;246.288;797.037;2.5;13.315;1.03;35.54;0.95;0.704
7.148;21;38.981.087;2.678.087;332.197;332.197;851.618;2.961;15.627;1.035;45.636;0.95;0.904
8.206;24;50.997.769;3.087.617;438.052;438.052;948.984;3.574;18.568;1.041;62.148;0.95;1.23
