Delay_from_due_date;Num_of_Delayed_Payment;Num_Credit_Inquiries;Credit_History_Age;Age;Annual_Income;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Changed_Credit_Limit;Outstanding_Debt;Credit_Score
3.0;7.0;4.0;265.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
3.0;7.0;4.0;265.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
3.0;7.0;4.0;267.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
5.0;4.0;4.0;268.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
6.0;4.0;4.0;269.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
8.0;4.0;4.0;270.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
3.0;8.0;4.0;271.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Good
3.0;6.0;4.0;271.0;23.0;19114.12;3.0;4.0;3.0;4.0;11.27;809.98;Standard
3.0;4.0;2.0;319.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Standard
7.0;1.0;2.0;320.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
3.0;1.0;2.0;321.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Standard
3.0;3.0;2.0;322.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
3.0;1.0;2.0;323.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
3.0;0.0;2.0;324.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
3.0;4.0;2.0;325.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
3.0;4.0;2.0;326.0;28.0;34847.84;2.0;4.0;6.0;1.0;5.42;605.03;Good
5.0;8.0;3.0;213.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
13.0;6.0;3.0;214.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
8.0;7.0;3.0;215.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
8.0;5.0;3.0;215.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
10.0;5.0;3.0;217.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
8.0;6.0;3.0;218.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Good
8.0;6.0;3.0;219.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Standard
8.0;6.0;3.0;220.0;34.0;143162.64;1.0;5.0;8.0;3.0;7.1;1303.01;Standard
0.0;6.0;4.0;207.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
5.0;3.0;4.0;208.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
3.0;9.0;4.0;209.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
7.0;6.0;4.0;210.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
5.0;6.0;4.0;211.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
5.0;6.0;4.0;212.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
5.0;6.0;4.0;213.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
4.0;9.0;4.0;214.0;55.0;30689.89;2.0;5.0;4.0;1.0;1.99;632.46;Standard
5.0;12.0;4.0;368.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
9.0;12.0;4.0;369.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
5.0;12.0;4.0;370.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
1.0;15.0;4.0;371.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
9.0;17.0;4.0;372.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
5.0;15.0;4.0;373.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
10.0;15.0;4.0;374.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
1.0;15.0;4.0;375.0;21.0;35547.71;7.0;5.0;5.0;0.0;2.58;943.86;Standard
12.0;10.0;2.0;384.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
8.0;7.0;2.0;384.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
8.0;7.0;2.0;384.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
8.0;7.0;2.0;386.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
11.0;7.0;2.0;387.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
7.0;7.0;2.0;387.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
8.0;4.0;2.0;389.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Standard
8.0;7.0;2.0;390.0;31.0;73928.46;4.0;5.0;8.0;0.0;10.14;548.2;Good
0.0;3.0;2.0;367.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;2.0;4.0;368.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;3.0;4.0;369.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;2.0;4.0;370.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;4.0;4.0;371.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;3.0;4.0;372.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Standard
0.0;2.0;4.0;373.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
0.0;2.0;4.0;374.0;34.0;131313.4;0.0;1.0;8.0;2.0;9.34;352.16;Good
30.0;11.0;5.0;176.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Poor
30.0;14.0;5.0;176.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Poor
31.0;14.0;5.0;177.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Poor
34.0;14.0;5.0;178.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Poor
27.0;14.0;5.0;179.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Standard
30.0;14.0;5.0;180.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Standard
30.0;11.0;5.0;181.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Standard
30.0;14.0;9.0;182.0;30.0;34081.38;8.0;7.0;15.0;3.0;17.13;1704.18;Poor
13.0;11.0;3.0;256.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
14.0;8.0;3.0;257.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
11.0;11.0;3.0;258.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
11.0;14.0;8.0;259.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
11.0;11.0;8.0;260.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Standard
13.0;14.0;8.0;261.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
11.0;14.0;8.0;262.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Good
11.0;11.0;8.0;263.0;23.0;114838.41;2.0;5.0;7.0;3.0;8.24;1377.74;Standard
4.0;0.0;2.0;318.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
2.0;0.0;2.0;318.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
2.0;0.0;5.0;319.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
1.0;0.0;5.0;320.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
1.0;0.0;5.0;321.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
1.0;0.0;5.0;321.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
1.0;2.0;5.0;323.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
1.0;2.0;5.0;324.0;44.0;31370.8;1.0;6.0;12.0;2.0;5.76;421.43;Good
16.0;20.0;4.0;230.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;20.0;4.0;231.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;20.0;8.0;232.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
17.0;22.0;8.0;233.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;20.0;8.0;234.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;20.0;8.0;235.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;20.0;8.0;236.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
16.0;17.0;8.0;236.0;40.0;33751.27;5.0;5.0;20.0;3.0;11.0;1328.93;Standard
4.0;0.0;3.0;305.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Standard
4.0;2.0;3.0;306.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Good
4.0;0.0;3.0;307.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Standard
4.0;2.0;3.0;308.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Standard
4.0;2.0;3.0;309.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Good
4.0;0.0;3.0;310.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Good
4.0;2.0;3.0;311.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Good
4.0;2.0;3.0;312.0;33.0;88640.24;3.0;6.0;1.0;2.0;3.51;950.36;Good
10.0;8.0;3.0;322.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;10.0;3.0;323.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
15.0;11.0;3.0;324.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;7.0;3.0;325.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;8.0;3.0;326.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;8.0;3.0;327.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;8.0;7.0;328.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
10.0;8.0;7.0;329.0;35.0;54392.16;6.0;4.0;14.0;3.0;5.54;179.22;Standard
23.0;9.0;6.0;107.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
23.0;9.0;6.0;108.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
23.0;9.0;6.0;109.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
22.0;7.0;6.0;110.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
22.0;9.0;6.0;111.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
23.0;6.0;6.0;112.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
21.0;9.0;9.0;112.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
23.0;9.0;9.0;114.0;39.0;8701545,00;6.0;5.0;32.0;7.0;8.86;2602.69;Poor
16.0;14.0;5.0;218.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;13.0;5.0;219.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;10.0;5.0;220.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;10.0;5.0;221.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;13.0;5.0;222.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;10.0;5.0;222.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
16.0;14.0;5.0;224.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
15.0;13.0;5.0;225.0;37.0;25546.26;8.0;7.0;14.0;5.0;7.83;758.44;Standard
8.0;14.0;0.0;202.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
12.0;14.0;0.0;203.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;14.0;1.0;204.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;14.0;1.0;205.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;14.0;1.0;206.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;14.0;1.0;207.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;16.0;1.0;208.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
8.0;16.0;1.0;209.0;30.0;31993.78;6.0;6.0;7.0;2.0;6.28;818.22;Standard
16.0;11.0;0.0;350.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Standard
16.0;11.0;4.0;351.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Standard
18.0;11.0;4.0;352.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Standard
16.0;11.0;4.0;352.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Poor
16.0;8.0;4.0;354.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Poor
16.0;13.0;4.0;354.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Poor
16.0;10.0;4.0;356.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Poor
16.0;11.0;4.0;357.0;20.0;92047.08;6.0;7.0;16.0;0.0;9.13;1296.64;Poor
11.0;12.0;8.0;77.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
11.0;12.0;8.0;78.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
10.0;12.0;8.0;79.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
11.0;12.0;8.0;80.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
15.0;12.0;10.0;81.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
11.0;12.0;10.0;82.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
7.0;12.0;10.0;83.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
13.0;12.0;10.0;84.0;46.0;32284.62;6.0;7.0;17.0;6.0;9.22;1283.37;Standard
18.0;8.0;1.0;326.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Standard
18.0;8.0;1.0;327.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Standard
18.0;7.0;1.0;328.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Standard
19.0;8.0;1.0;329.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Good
18.0;8.0;1.0;330.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Good
16.0;8.0;1.0;331.0;26.0;97791.42;6.0;6.0;12.0;0.0;17.92;107.41;Good
