POSTED_BY;UNDER_CONSTRUCTION;RERA;BHK_NO.;BHK_OR_RK;SQUARE_FT;READY_TO_MOVE;RESALE;ADDRESS;LONGITUDE;LATITUDE;TARGET(PRICE_IN_LACS)
Owner;0;0;2;BHK;1.300.236.407;1;1;Ksfc Layout,Bangalore;1.296.991;7.759.796;55.0
Dealer;0;0;2;BHK;1275.0;1;1;Vishweshwara Nagar,Mysore;12.274.538;76.644.605;51.0
Owner;0;0;2;BHK;9.331.597.222.000.000;1;1;Jigani,Bangalore;12.778.033;77.632.191;43.0
Owner;0;1;2;BHK;9.299.211.427.000.000;1;1;Sector-1 Vaishali,Ghaziabad;286.423;773.445;62.5
Dealer;1;0;2;BHK;9.990.092.470.000.000;0;1;New Town,Kolkata;225.922;88.484.911;60.5
Owner;0;0;3;BHK;1250.0;1;1;South Chittoor,Kochi;1.003.328;7.628.257.099.999.990;42.0
Dealer;0;0;3;BHK;1.495.053.957;1;1;Sodala,Jaipur;26.916.347;757.956;66.5
Owner;0;1;3;BHK;1.181.012.946;1;1;Kharar,Mohali;30.74;76.65;52.0
Dealer;0;1;2;BHK;1040.0;1;1;Bileshivale,Bangalore;13.054.202;77.674.002;41.6
Owner;0;1;2;BHK;8.791.208.791.000.000;1;1;Chromepet,Chennai;1.295.161;8.014.097;36.0
Owner;0;0;3;BHK;1.350.308.642;1;1;Deshbandhu Para,Siliguri;26.724.219;88.326.357;35.0
Dealer;0;0;2;BHK;13.330.101.789.999.900;1;1;Hebbal,Bangalore;13.040.339.999.999.900;77.591.347;110.0
Owner;0;0;2;BHK;9.271.779.023;1;1;Garebhavipalya,Bangalore;1.296.991;7.759.796;48.0
Owner;0;1;2;BHK;11.221.719.460.000.000;1;1;Sector-119 Noida,Noida;28.587.711;77.403.123;62.0
Owner;0;0;1;BHK;6.499.837.504;1;1;sanjay nagar,Raigad;130.352;775.772;20.0
Dealer;1;1;3;BHK;1.394.117.647;0;1;Sector-150 Noida,Noida;28.429.614;77.481.711;71.1
Owner;0;0;3;BHK;180.008.471;1;1;Jharapada,Bhubaneswar;20.275.267.000.000.000;8.586.240.699.999.990;85.0
Dealer;1;1;3;BHK;2.124.896.706;0;1;Konanakunte,Bangalore;128.855;775.638;180.0
Owner;0;0;2;BHK;1100.0;1;1;Nagpur Road,Wardha;2.115.389;7.908.306;22.0
Dealer;0;1;3;BHK;2.178.649.237;1;1;Kogilu,Bangalore;13.092.356;7.761.346.800.000.000;120.0
Owner;0;0;2;BHK;8.811.435.285;1;1;Poonamallee,Chennai;13.05;80.11;45.0
Dealer;0;0;2;BHK;9.448.818.898;1;1;Undri,Pune;18.452.663;7.393.104;42.0
Dealer;0;1;3;BHK;13.101.476.890.000.000;1;1;Sector-134 Noida,Noida;285.041;77.381.557;55.0
Dealer;0;0;1;BHK;63.000.063;1;1;Bandra (West),Mumbai;1.905.444;7.284.056;300.0
